asset_id,family,review_use,panel_structure,required_evidence,claim_boundary,caption_pattern,source_learning_basis
dry-wet-aged-bonding-bars,performance-comparison,performance comparison figure,dry | wet | aged grouped bars with error bars,raw bonding data; control group; n; standard deviation; test method,template only; comparison is invalid without matched protocol,Grouped bonding performance comparison under dry; wet; and aged conditions,local caption family frequency: performance-comparison=598; sanitized pattern only
pull-off-shear-comparison,performance-comparison,performance method comparison,pull-off strength | shear strength | failure type | condition labels,test geometry; loading rate; units; failure-mode observation,template only; pull-off and shear are not interchangeable without context,Comparison of pull-off and shear bonding responses for modified tack coats,local caption family frequency: performance-comparison=598; template only
storage-stability-timeline,dosage-workability-window,emulsion stability summary,1 day | 5 day | 7 day | separation index,storage protocol; temperature; emulsion residue; separation ratio,template only; storage stability alone does not prove pavement performance,Storage stability timeline for emulsified asphalt systems at different modifier dosages,local caption family frequency: dosage-workability-window=610; sanitized pattern only
viscosity-application-rate-window,dosage-workability-window,construction feasibility figure,viscosity range | sprayability | application rate | bonding response,viscosity method; application rate; temperature; bonding data,template only; workability window is equipment and temperature dependent,Application window connecting viscosity; sprayability; tack coat rate; and bonding response,local caption family frequency: dosage-workability-window=610; template only
curing-temperature-time-map,test-matrix-standard,experimental design card,temperature | time | humidity | demulsification/curing endpoint,curing environment; time points; residual water; endpoint definition,template only; curing effects cannot be generalized without environment data,Curing condition map for comparing emulsion demulsification and epoxy network development,local caption family frequency: test-matrix-standard=438; sanitized pattern only
standard-condition-card,test-matrix-standard,review methods harmonization,standard ID | specimen | loading | conditioning | response,standard name; specimen dimensions; conditioning details; response units,template only; studies using different standards require cautious comparison,Test standard card for extracting comparable bonding and durability conditions,local caption family frequency: test-matrix-standard=438; template only
material-formulation-matrix,test-matrix-standard,material system overview,base asphalt | emulsifier | epoxy | curing agent | additive,formulation ranges; solids content; mixing sequence; pH or viscosity,template only; formulation matrix is descriptive without performance data,Material formulation matrix for modified emulsified asphalt review tables,local caption family frequency: test-matrix-standard=438; sanitized pattern only
sem-fluorescence-plate,microstructure-image-plate,microstructure evidence figure,SEM tile | fluorescence tile | annotated morphology | scale bar,original micrographs; scale bars; magnification; acquisition conditions,template only; morphology interpretation must be bounded by representative images,Microstructure image plate showing morphology cues and interpretation boundaries,local caption family frequency: microstructure-image-plate=267; template only
failure-surface-image-plate,microstructure-image-plate,bond failure explanation,control failure surface | modified failure surface | adhesive/cohesive labels,original failure photographs or micrographs; test condition; scale reference,template only; failure mode labels require consistent observation criteria,Failure surface plate for interpreting bonding damage modes after conditioning,local caption family frequency: microstructure-image-plate=267; sanitized pattern only
pore-network-morphology-plate,microstructure-image-plate,cement or asphalt morphology analogy,porosity cue | network continuity | phase distribution | caution note,image evidence; segmentation method if quantified; scale bars,template only; qualitative images cannot support quantitative pore claims alone,Morphology plate for phase distribution and network continuity evidence,local caption family frequency: microstructure-image-plate=267; template only
demulsification-curing-sequence,interface-mechanism-map,mechanism process figure,emulsion breaking | water escape | epoxy curing | asphalt film formation,time-resolved evidence; FTIR; microscopy; mass loss or rheology,template only; process sequence is conditional unless time-resolved data exist,Demulsification and curing sequence proposed for epoxy-modified emulsified asphalt,local caption family frequency: interface-mechanism-map=231; sanitized pattern only
aggregate-interface-water-path,interface-mechanism-map,moisture damage mechanism,aggregate surface | tack coat | water intrusion | bond weakening,moisture conditioning; surface energy or failure observation; bonding retention,template only; water path must not be drawn as confirmed without evidence,Interface water-intrusion pathway and bonding risk boundary,local caption family frequency: interface-mechanism-map=231; template only
epoxy-asphalt-network-schematic,interface-mechanism-map,material mechanism summary,epoxy network | asphalt phase | emulsifier residue | compatibility cue,chemical evidence; morphology evidence; rheology or mechanical response,template only; network continuity requires direct characterization,Evidence-bounded schematic of epoxy-asphalt network formation,local caption family frequency: interface-mechanism-map=231; sanitized pattern only
ftir-peak-assignment-card,characterization-evidence-panel,chemical evidence card,peak position | assignment | expected change | limitation,raw FTIR spectra; baseline treatment; peak labels; reference assignment,template only; peak shifts alone do not prove macroscopic bonding gain,FTIR peak assignment card for curing and compatibility discussion,local caption family frequency: characterization-evidence-panel=156; template only
xrd-tg-dsr-panel,characterization-evidence-panel,multi-method evidence panel,XRD/TG cue | DSR/rheology cue | performance link | limitation,raw curves; instrument settings; sample history; interpretation basis,template only; cross-method consistency is required for mechanism strength,Multi-characterization evidence panel linking structure; thermal response; and rheology,local caption family frequency: characterization-evidence-panel=156; sanitized pattern only
rheology-performance-link,characterization-evidence-panel,mechanism-performance bridge,viscosity | modulus | phase angle | bonding response,rheology settings; temperature; frequency; bonding test data,template only; correlation is not causation without controlled formulation,Rheology-performance link template for modified emulsion systems,local caption family frequency: characterization-evidence-panel=156; template only
water-aging-retention-bars,durability-retention,durability retention chart,baseline | water | thermal aging | UV or freeze-thaw retention,initial values; conditioned values; protocol; retention calculation,template only; retained percentage needs original strength and uncertainty,Retention ratio comparison after moisture and aging conditioning,local caption family frequency: durability-retention=65; sanitized pattern only
freeze-thaw-risk-wheel,durability-retention,durability challenge overview,freeze-thaw | water | heat | traffic | maintenance relevance,conditioning cycles; response metric; failure observation; service assumption,template only; service relevance requires field or accelerated validation,Durability challenge wheel for modified tack coat bonding systems,local caption family frequency: durability-retention=65; template only
lca-boundary-card,sustainability-lca-boundary,sustainability caution figure,functional unit | system boundary | inventory | comparison material,functional unit; inventory data; allocation method; comparison basis,template only; cannot claim low carbon without quantified LCA,Sustainability boundary card for future LCA-ready review discussion,local caption family frequency: sustainability-lca-boundary=20; sanitized pattern only
construction-application-flow,construction-application-workflow,practice relevance figure,surface preparation | spraying | curing | overlay | quality check,application rate; temperature; equipment; curing time; inspection metric,template only; construction workflow is contextual and site dependent,Construction application workflow for tack coat and maintenance scenarios,local caption family frequency: construction-application-workflow=261; template only
